epoch,train_loss,lr,max_miou,best_mdice,best_mhd95,best_epoch,val_loss,val_miou,val_mdice,val_mhd95,iou_cls_0,dice_cls_0,hd95_cls_0,iou_cls_1,dice_cls_1,hd95_cls_1,iou_cls_2,dice_cls_2,hd95_cls_2,iou_cls_3,dice_cls_3,hd95_cls_3
48,1.509165643,0.000166381,0.695956929,0.641284696,20.94422974,45,0.389685152,0.675407174,0.617728532,21.25084175,0.728316182,0.547595166,12.04386111,0.520149747,0.456945541,28.56926319,0.593274811,0.595050979,29.31214998,0.859887957,0.87132244,15.07809275
49,1.496769863,0.000161762,0.695956929,0.641284696,20.94422974,45,0.381946952,0.696824297,0.633055066,20.57353407,0.723245465,0.561871675,11.84392113,0.5553779,0.47938981,28.15177496,0.648518984,0.623257915,27.25191078,0.86015484,0.867700862,15.04652941
50,1.52254357,0.000157133,0.695956929,0.641284696,20.94422974,45,0.381946952,0.696824297,0.633055066,20.57353407,0.723245465,0.561871675,11.84392113,0.5553779,0.47938981,28.15177496,0.648518984,0.623257915,27.25191078,0.86015484,0.867700862,15.04652941
51,1.500805076,0.0001525,0.704697255,0.641817226,20.36990773,51,0.381063941,0.704697255,0.641817226,20.36990773,0.718975378,0.555372202,12.02856804,0.579663976,0.501650267,28.24387531,0.667200584,0.640740813,26.50624223,0.852949081,0.869505621,14.70094533
52,1.534594038,0.000147867,0.704697255,0.641817226,20.36990773,51,0.381063941,0.704697255,0.641817226,20.36990773,0.718975378,0.555372202,12.02856804,0.579663976,0.501650267,28.24387531,0.667200584,0.640740813,26.50624223,0.852949081,0.869505621,14.70094533
53,1.506838824,0.000143238,0.704697255,0.641817226,20.36990773,51,0.385648551,0.703162698,0.632347718,20.26801767,0.729116809,0.568615763,12.64967467,0.571657592,0.47179032,27.14931283,0.653856587,0.619489628,26.7487684,0.858019802,0.869495159,14.52431476
54,1.528541368,0.000138619,0.704697255,0.641817226,20.36990773,51,0.385648551,0.703162698,0.632347718,20.26801767,0.729116809,0.568615763,12.64967467,0.571657592,0.47179032,27.14931283,0.653856587,0.619489628,26.7487684,0.858019802,0.869495159,14.52431476
55,1.487518423,0.000134013,0.714171495,0.653666679,19.03193758,55,0.379308567,0.714171495,0.653666679,19.03193758,0.744862734,0.57690238,11.39593512,0.582332782,0.512565479,26.30661215,0.672538182,0.650518612,24.80323126,0.856952283,0.874680245,13.6219718
56,1.553745606,0.000129426,0.714171495,0.653666679,19.03193758,55,0.379308567,0.714171495,0.653666679,19.03193758,0.744862734,0.57690238,11.39593512,0.582332782,0.512565479,26.30661215,0.672538182,0.650518612,24.80323126,0.856952283,0.874680245,13.6219718
57,1.477583764,0.000124861,0.714171495,0.653666679,19.03193758,55,0.394481681,0.705631332,0.638506664,19.98659077,0.74246082,0.557177369,11.46400983,0.551374694,0.48070701,28.38833574,0.667200578,0.635969999,26.65991084,0.861489237,0.880172277,13.43410666
